Rank: 0 World size: 1 ZeRO stage: 0
GPU detected — training on GPU.
+-----------------------+----------------------------------------------------+
| Parameter             | Value                                              |
+-----------------------+----------------------------------------------------+
| train data pattern    | data/.fineweb10B/fineweb_train_*.bin               |
| val data pattern      | data/.fineweb10B/fineweb_val_000000.bin            |
| output log dir        | NULL                                               |
| checkpoint_every      | 0                                                  |
| resume                | 0                                                  |
| micro batch size B    | 16                                                 |
| sequence length T     | 1024                                               |
| total batch size      | 524288                                             |
| LR scheduler          | cosine                                             |
| learning rate (LR)    | 0.0018                                             |
| warmup iterations     | 40                                                 |
| final LR fraction     | 0.0                                                |
| weight decay          | 0.1                                                |
| max_steps             | 150                                                |
| val_loss_every        | 25                                                 |
| val_max_steps         | 20                                                 |
| sample_every          | 0                                                  |
| genT                  | 64                                                 |
| overfit_single_batch  | 0                                                  |
+-----------------------+----------------------------------------------------+
Model Summary:
--------------------------------
Model Name: GPT-2
Model Magic Number: 20240520
Model Config:
--------------------------------
Max Sequence Length: 1024
Vocab Size: 50257
Number of Layers: 12
Number of Heads: 12
Number of Channels: 768
Padded Vocab Size: 50304
--------------------------------
Number of Parameters: 124475904
--------------------------------
Number of Activations: 0
--------------------------------
Number of Gradients: 124475904
--------------------------------
+-----------------------+----------------------------------------------------+
| weight init method    | d12                                                |
| max_sequence_length T | 1024                                               |
| vocab_size V          | 50257                                              |
| padded_vocab_size Vp  | 50304                                              |
| num_layers L          | 12                                                 |
| num_heads NH          | 12                                                 |
| channels C            | 768                                                |
| num_parameters        | 124475904                                          |
+-----------------------+----------------------------------------------------+
Loaded train tokens from data/.fineweb10B/fineweb_train_*.bin
Number of tokens: 10251184259
Loaded val tokens from data/.fineweb10B/fineweb_val_000000.bin
Number of tokens: 100000000
Loaded tokenizer from gpt2_tokenizer.bin
batch_size B=16 * seq_len T=1024 * num_processes=1 and total_batch_size=524288
=> setting grad_accum_steps=32
+-----------------------+----------------------------------------------------+
| train_num_batches     | 150                                                |
| val_num_batches       | 20                                                 |
| num_processes         | 1                                                  |
| zero_stage            | 0                                                  |
+-----------------------+----------------------------------------------------+
Number of Activations: 6590349312
Number of Activation Gradients: 2746269696
val loss 11.008389
step 1/150 | loss 11.008743 (nanz)| norm 15.7121 (nanz)| lr 4.5e-05 | 6734.08 ms | n/a fp32 MFU | 77856 tok/s
step 2/150 | loss 10.216871 (nanz)| norm 6.5435 (nanz)| lr 9e-05 | 6732.05 ms | n/a fp32 MFU | 77879 tok/s
step 3/150 | loss 9.855742 (nanz)| norm 3.2696 (nanz)| lr 0.00013500001 | 6760.78 ms | n/a fp32 MFU | 77710 tok/s
step 4/150 | loss 9.649743 (nanz)| norm 2.3094 (nanz)| lr 0.00018 | 6786.62 ms | n/a fp32 MFU | 77550 tok/s
step 5/150 | loss 9.509871 (nanz)| norm 1.9985 (nanz)| lr 0.000225 | 6811.59 ms | n/a fp32 MFU | 77393 tok/s
step 6/150 | loss 9.336653 (nanz)| norm 1.9261 (nanz)| lr 0.00027000002 | 6828.67 ms | n/a fp32 MFU | 77257 tok/s
step 7/150 | loss 9.141712 (nanz)| norm 1.8240 (nanz)| lr 0.000315 | 6835.77 ms | n/a fp32 MFU | 77152 tok/s
step 8/150 | loss 8.869202 (nanz)| norm 1.7034 (nanz)| lr 0.00036 | 6847.50 ms | n/a fp32 MFU | 77055 tok/s
step 9/150 | loss 8.690328 (nanz)| norm 1.4666 (nanz)| lr 0.000405 | 6867.37 ms | n/a fp32 MFU | 76949 tok/s
step 10/150 | loss 8.488241 (nanz)| norm 3.2498 (nanz)| lr 0.00045 | 6884.97 ms | n/a fp32 MFU | 76841 tok/s
step 11/150 | loss 8.276733 (nanz)| norm 1.2581 (nanz)| lr 0.000495 | 6887.61 ms | n/a fp32 MFU | 76751 tok/s
step 12/150 | loss 8.105607 (nanz)| norm 1.1490 (nanz)| lr 0.00054000004 | 6897.56 ms | n/a fp32 MFU | 76665 tok/s
step 13/150 | loss 7.887187 (nanz)| norm 0.9546 (nanz)| lr 0.000585 | 6911.28 ms | n/a fp32 MFU | 76578 tok/s
step 14/150 | loss 7.830657 (nanz)| norm 10.6180 (nanz)| lr 0.00063 | 6932.60 ms | n/a fp32 MFU | 76480 tok/s
step 15/150 | loss 7.774093 (nanz)| norm 2.4915 (nanz)| lr 0.00067499996 | 6924.75 ms | n/a fp32 MFU | 76405 tok/s
step 16/150 | loss 7.704968 (nanz)| norm 1.2719 (nanz)| lr 0.00072 | 6932.21 ms | n/a fp32 MFU | 76333 tok/s
step 17/150 | loss 7.681895 (nanz)| norm 1.1047 (nanz)| lr 0.000765 | 6942.73 ms | n/a fp32 MFU | 76260 tok/s
