Rank: 0 World size: 1 ZeRO stage: 0
GPU detected — training on GPU.
+-----------------------+----------------------------------------------------+
| Parameter             | Value                                              |
+-----------------------+----------------------------------------------------+
| train data pattern    | data/.fineweb10B/fineweb_train_*.bin               |
| val data pattern      | data/.fineweb10B/fineweb_val_000000.bin            |
| output log dir        | NULL                                               |
| checkpoint_every      | 0                                                  |
| resume                | 0                                                  |
| micro batch size B    | 16                                                 |
| sequence length T     | 1024                                               |
| total batch size      | 524288                                             |
| LR scheduler          | cosine                                             |
| learning rate (LR)    | 0.0014                                             |
| warmup iterations     | 40                                                 |
| final LR fraction     | 0.0                                                |
| weight decay          | 0.1                                                |
| max_steps             | 150                                                |
| val_loss_every        | 25                                                 |
| val_max_steps         | 20                                                 |
| sample_every          | 0                                                  |
| genT                  | 64                                                 |
| overfit_single_batch  | 0                                                  |
+-----------------------+----------------------------------------------------+
Model Summary:
--------------------------------
Model Name: GPT-2
Model Magic Number: 20240520
Model Config:
--------------------------------
Max Sequence Length: 1024
Vocab Size: 50257
Number of Layers: 12
Number of Heads: 12
Number of Channels: 768
Padded Vocab Size: 50304
--------------------------------
Number of Parameters: 124475904
--------------------------------
Number of Activations: 0
--------------------------------
Number of Gradients: 124475904
--------------------------------
+-----------------------+----------------------------------------------------+
| weight init method    | d12                                                |
| max_sequence_length T | 1024                                               |
| vocab_size V          | 50257                                              |
| padded_vocab_size Vp  | 50304                                              |
| num_layers L          | 12                                                 |
| num_heads NH          | 12                                                 |
| channels C            | 768                                                |
| num_parameters        | 124475904                                          |
+-----------------------+----------------------------------------------------+
Loaded train tokens from data/.fineweb10B/fineweb_train_*.bin
Number of tokens: 10251184259
Loaded val tokens from data/.fineweb10B/fineweb_val_000000.bin
Number of tokens: 100000000
Loaded tokenizer from gpt2_tokenizer.bin
batch_size B=16 * seq_len T=1024 * num_processes=1 and total_batch_size=524288
=> setting grad_accum_steps=32
+-----------------------+----------------------------------------------------+
| train_num_batches     | 150                                                |
| val_num_batches       | 20                                                 |
| num_processes         | 1                                                  |
| zero_stage            | 0                                                  |
+-----------------------+----------------------------------------------------+
Number of Activations: 6590349312
Number of Activation Gradients: 2746269696
val loss 11.008389
step 1/150 | loss 11.008743 (nanz)| norm 15.7121 (nanz)| lr 3.4999997e-05 | 6877.03 ms | n/a fp32 MFU | 76238 tok/s
step 2/150 | loss 10.248974 (nanz)| norm 6.8378 (nanz)| lr 6.9999995e-05 | 6901.75 ms | n/a fp32 MFU | 75964 tok/s
step 3/150 | loss 9.876662 (nanz)| norm 3.6669 (nanz)| lr 0.000105 | 6926.61 ms | n/a fp32 MFU | 75825 tok/s
step 4/150 | loss 9.681831 (nanz)| norm 2.5054 (nanz)| lr 0.00013999999 | 6946.53 ms | n/a fp32 MFU | 75702 tok/s
step 5/150 | loss 9.560677 (nanz)| norm 2.0590 (nanz)| lr 0.000175 | 6958.52 ms | n/a fp32 MFU | 75606 tok/s
step 6/150 | loss 9.419518 (nanz)| norm 1.9733 (nanz)| lr 0.00021 | 6968.57 ms | n/a fp32 MFU | 75524 tok/s
step 7/150 | loss 9.262074 (nanz)| norm 1.9034 (nanz)| lr 0.000245 | 6994.15 ms | n/a fp32 MFU | 75418 tok/s
step 8/150 | loss 9.028995 (nanz)| norm 1.8011 (nanz)| lr 0.00027999998 | 7020.13 ms | n/a fp32 MFU | 75296 tok/s
step 9/150 | loss 8.883535 (nanz)| norm 1.6102 (nanz)| lr 0.00031499998 | 7034.56 ms | n/a fp32 MFU | 75182 tok/s
step 10/150 | loss 8.683414 (nanz)| norm 2.7660 (nanz)| lr 0.00035 | 7044.56 ms | n/a fp32 MFU | 75080 tok/s
step 11/150 | loss 8.498024 (nanz)| norm 1.4751 (nanz)| lr 0.000385 | 7051.38 ms | n/a fp32 MFU | 74989 tok/s
step 12/150 | loss 8.311796 (nanz)| norm 1.3371 (nanz)| lr 0.00042 | 7067.07 ms | n/a fp32 MFU | 74896 tok/s
step 13/150 | loss 8.073879 (nanz)| norm 1.2175 (nanz)| lr 0.00045499997 | 7071.42 ms | n/a fp32 MFU | 74814 tok/s
step 14/150 | loss 7.909511 (nanz)| norm 3.6210 (nanz)| lr 0.00049 | 7082.13 ms | n/a fp32 MFU | 74734 tok/s
step 15/150 | loss 7.843611 (nanz)| norm 1.7149 (nanz)| lr 0.000525 | 7084.69 ms | n/a fp32 MFU | 74662 tok/s
step 16/150 | loss 7.706945 (nanz)| norm 0.6537 (nanz)| lr 0.00055999996 | 7091.42 ms | n/a fp32 MFU | 74594 tok/s
step 17/150 | loss 7.717988 (nanz)| norm 3.1560 (nanz)| lr 0.000595 | 7104.60 ms | n/a fp32 MFU | 74523 tok/s
